domain,complexity,detection_signals,key_concerns,required_checklists,compliance_requirements,mandatory_questions
healthcare,high,"medical records, patient data, clinical, diagnosis, HIPAA, FDA, EHR, HL7, FHIR","data encryption at rest and transit, audit logging, access control, consent management","security.md, privacy.md, accessibility.md","HIPAA, HITECH, FDA 21 CFR Part 11, GDPR (if EU)","What PHI data is handled? Who has access? Audit trail requirements? Data retention policy?"
fintech,high,"payments, banking, trading, KYC, AML, PCI, transactions, ledger, financial data","PCI-DSS compliance, transaction integrity, fraud detection, audit trail, data isolation","security.md, privacy.md","PCI-DSS, SOX, KYC/AML regulations, PSD2 (if EU)","What financial data is processed? Payment processor? Transaction volume? Regulatory jurisdiction?"
govtech,high,"government, public sector, citizen, FedRAMP, FISMA, classified, clearance","data sovereignty, accessibility (Section 508), audit compliance, multi-factor auth","security.md, privacy.md, accessibility.md","FedRAMP, FISMA, Section 508, WCAG 2.1 AA","Data classification level? Hosting jurisdiction requirements? Accessibility mandates?"
legaltech,high,"legal documents, case management, attorney-client, discovery, compliance, contracts","privilege protection, document retention, chain of custody, audit trail","security.md, privacy.md","varies by jurisdiction, attorney-client privilege, data retention laws","What privileged data is handled? Retention requirements? Multi-jurisdiction?"
insuretech,high,"insurance, claims, underwriting, policies, actuarial, risk assessment","data privacy, regulatory reporting, claims integrity, fraud detection","security.md, privacy.md","varies by jurisdiction, NAIC, Solvency II (if EU)","What policyholder data? Regulatory reporting requirements? Claims workflow?"
edtech,medium,"education, students, courses, grades, LMS, COPPA, FERPA, minors","minor data protection, parental consent, accessibility, data minimization","security.md, privacy.md, accessibility.md","COPPA (if minors), FERPA, GDPR (if EU)","Are users minors? Parental consent flow? Student data handling?"
ecommerce,medium,"shop, cart, checkout, products, orders, inventory, shipping","payment security, inventory consistency, order integrity, user data protection","security.md, privacy.md, performance.md","PCI-DSS (if handling cards), GDPR (if EU), consumer protection laws","Payment processing method? Order volume? Inventory management? Return policy?"
saas_b2b,medium,"multi-tenant, subscription, billing, workspace, organization, team, seats","tenant isolation, billing integrity, data separation, SSO/SAML","security.md, privacy.md","GDPR (if EU), SOC 2 (recommended)","Multi-tenancy model? Tenant data isolation? SSO requirements? Billing model?"
iot,medium,"sensor, device, telemetry, firmware, embedded, MQTT, edge","device authentication, firmware updates, data volume, edge processing, physical security","security.md, performance.md","varies by industry, CE marking, FCC","Device count? Communication protocol? Firmware update strategy? Data volume?"
marketplace,medium,"buyers, sellers, listings, reviews, disputes, commission, escrow","dual-sided trust, payment escrow, fraud prevention, content moderation","security.md, privacy.md","consumer protection, payment regulations","Dispute resolution? Payment flow? Seller verification? Content moderation?"
internal_tool,low,"internal, backoffice, admin, dashboard, employees, operations","usability, reliability, integration with existing systems","security.md","company IT policies","Who are the internal users? Integration with existing systems? Auth (SSO/LDAP)?"
content_site,low,"blog, CMS, articles, media, publishing, editorial","content delivery, SEO, caching, editorial workflow","performance.md, accessibility.md","GDPR (if EU), accessibility laws","Traffic expectations? Content types? Editorial workflow? CDN needs?"
general,low,"none of the above signals detected","standard security, data protection, performance","security.md","GDPR (if EU users)","Any specific regulatory requirements?"
