type,detection_signals,required_sections,optional_sections,key_questions,suggested_tier,ux_designer_active
api_backend,"API, REST, GraphQL, endpoints, microservice, backend, server","api_contracts, auth_model, data_model, error_handling, rate_limiting","ux_design, visual_design, accessibility","API versioning strategy? Authentication method? Rate limiting? Documentation format?",Tier 1 - Standard,false
web_app,"web, frontend, SPA, SSR, browser, responsive, dashboard, portal","user_flows, ui_components, responsive_design, auth_model, api_contracts, data_model","mobile_design, offline_support","Target browsers? SSR vs SPA? State management? Responsive breakpoints?",Tier 1 - Standard,true
mobile_app,"iOS, Android, React Native, Flutter, mobile, app store","user_flows, offline_support, push_notifications, device_permissions, app_store_guidelines","web_companion, tablet_design","Native vs cross-platform? Offline requirements? Push notifications? App store guidelines?",Tier 1 - Standard,true
saas_b2b,"SaaS, multi-tenant, subscription, billing, organization, workspace","tenant_isolation, billing_model, subscription_tiers, sso_integration, admin_panel, data_model","white_label, api_for_clients, marketplace","Multi-tenancy model? Billing integration? SSO/SAML? Admin capabilities?",Tier 1 - Standard,true
cli_tool,"CLI, command-line, terminal, flags, arguments, stdin, stdout","commands_spec, input_output_formats, error_codes, installation","gui, web_interface","Distribution method? Shell compatibility? Configuration file format?",Tier 1 - Standard,false
desktop_app,"desktop, Electron, Tauri, native, Windows, macOS, Linux","platform_support, installation, auto_update, system_integration, offline_support","cloud_sync, mobile_companion","Target platforms? Distribution method? Auto-update strategy? System integration?",Tier 1 - Standard,true
data_pipeline,"ETL, pipeline, batch, streaming, data warehouse, analytics, ingestion","data_sources, transformation_logic, scheduling, monitoring, error_recovery","visualization, real_time","Data volume? Frequency? Source systems? Error recovery strategy?",Tier 1 - Standard,false
plugin_extension,"plugin, extension, add-on, integration, SDK, hook","host_api_integration, lifecycle_hooks, configuration, packaging","ui_components, marketplace","Host platform API? Distribution? Configuration model? Lifecycle hooks?",Tier 1 - Standard,false
static_site,"landing page, portfolio, documentation, brochure, static","content_structure, seo, performance_targets, deployment","cms_integration, analytics","Content update frequency? SEO requirements? Deployment target?",Tier 1 - Standard,false
realtime_app,"chat, collaboration, real-time, WebSocket, live, streaming","connection_management, message_delivery, presence, scaling, offline_handling","encryption, moderation","Concurrent users? Message delivery guarantees? Presence detection? Scaling strategy?",Tier 1 - Standard,true
